Time,VUs   - sdkFxSendE2E 2025-10-13 13:43,Latency(p99)  - sdkFxSendE2E 2025-10-13 13:43,Throughput - sdkFxSendE2E 2025-10-13 13:43,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760364020000,10,8.704042366200001,1.4709699749069827,undefined,undefined,undefined,
1760364025000,10,8.703742587,1.4371945961483186,undefined,undefined,undefined,
1760364030000,10,8.703392844600002,1.5215355805243445,undefined,undefined,undefined,
1760364035000,10,8.702943175800002,1.6235413495687467,undefined,undefined,undefined,
1760364040000,10,8.702593433399999,1.3933641034572846,undefined,undefined,undefined,
1760364045000,10,8.7022936542,1.3418662262592898,undefined,undefined,undefined,
1760364050000,10,8.70170968206,1.5165301789505612,undefined,undefined,undefined,
1760364055000,10,8.700857103239999,1.9793270288102047,undefined,undefined,undefined,
1760364060000,10,8.70019398638,1.6294938384764233,undefined,undefined,undefined,
1760364065000,10,8.7057910782,1.184249481890852,undefined,undefined,undefined,
1760364070000,10,8.705391372600001,1.2989608313349321,undefined,undefined,undefined,
1760364075000,10,8.704991667,1.5664773839827686,undefined,undefined,undefined,
1760364080000,10,8.7046419246,1.6886187098953058,undefined,undefined,undefined,
1760364085000,10,8.704142292600002,1.5828677839851024,undefined,undefined,undefined,
1760364090000,10,8.703742587,1.588842792832554,undefined,undefined,undefined,
1760364095000,10,8.703492770999999,1.4614952220348512,undefined,undefined,undefined,
1760364100000,10,8.702993139,1.5217611849447092,undefined,undefined,undefined,
1760364105000,10,8.7025434702,1.7885719664878097,undefined,undefined,undefined,
1760364110000,10,8.7020938014,1.769041769041769,undefined,undefined,undefined,
1760364115000,10,8.70161495108,1.3975589304015652,undefined,undefined,undefined,
1760364118602,,,,,,,moja-ml-api-adapter-handler-notification-5cd468d7b5-285kh killed
1760364120000,10,8.70095183422,1.3835674755214984,undefined,undefined,undefined,
1760364125000,10,8.700383448339998,1.3199790149364274,undefined,undefined,undefined,
1760364130000,10,8.741783562299998,1.6106301590497283,undefined,undefined,undefined,
1760364135000,10,8.739438025500002,1.5370164802322601,undefined,undefined,undefined,
1760364140000,10,8.737678872899997,1.3621327106440941,undefined,undefined,undefined,
1760364145000,10,8.735333336099998,1.4011208967173738,undefined,undefined,undefined,
1760364150000,10,8.732987799300002,1.6348217022580973,undefined,undefined,undefined,
1760364155000,10,8.730055878299998,1.7899761336515514,undefined,undefined,undefined,
1760364160000,10,8.7282967257,1.5509887553315238,undefined,undefined,undefined,
1760364165000,10,8.7259511889,1.4080257467565123,undefined,undefined,undefined,
1760364170000,10,8.723605652099998,1.7265565986835008,undefined,undefined,undefined,
1760364175000,10,8.720966923199999,1.6590221528252171,undefined,undefined,undefined,
1760364180000,10,8.71984492524,1.520064856100527,undefined,undefined,undefined,
1760364185000,10,8.718639794279998,1.5535991714137753,undefined,undefined,undefined,
1760364190000,10,8.717702470199999,1.4739751266697374,undefined,undefined,undefined,
1760364195000,10,8.71676514612,1.4710518020384575,undefined,undefined,undefined,
1760364200000,10,8.71542611172,1.6856717897868119,undefined,undefined,undefined,
1760364205000,10,8.7143548842,1.7329354000192545,undefined,undefined,undefined,
1760364210000,10,8.7130158498,1.7609078458227352,undefined,undefined,undefined,
1760364215000,10,8.712212429159997,1.669623291244913,undefined,undefined,undefined,
1760364220000,10,8.71020387756,1.6560208185474334,undefined,undefined,undefined,
1760364225000,10,8.71020387756,1.4147887323943662,undefined,undefined,undefined,
1760364230000,10,8.708864843159997,1.8187653792660747,undefined,undefined,undefined,
1760364235000,10,8.7076597122,1.5282730514518592,undefined,undefined,undefined,
1760364240000,10,8.7069402318,1.41629685582098,undefined,undefined,undefined,
1760364240039,,,,,,,moja-quoting-service-77648dbb55-wnf4k killed
1760364245000,10,8.706590489400002,1.3218098627351293,undefined,undefined,undefined,
1760364250000,10,8.7061907838,1.4409249563699824,undefined,undefined,undefined,
1760364255000,10,8.7056911518,1.7105388197282145,undefined,undefined,undefined,
1760364260000,10,8.705391372600001,1.3917884481558802,undefined,undefined,undefined,
1760364265000,10,8.704991667,1.4525835235526043,undefined,undefined,undefined,
1760364270000,10,8.7046419246,1.4539110206455366,undefined,undefined,undefined,
1760364275000,10,8.7041922558,1.7039403620873268,undefined,undefined,undefined,
1760364280000,10,8.7038924766,1.5360983102918586,undefined,undefined,undefined,
1760364285000,10,8.71087339476,1.4522218995062444,undefined,undefined,undefined,
1760364290000,10,8.709802167240001,1.7726798748696562,undefined,undefined,undefined,
1760364295000,10,8.708864843159997,1.4328016047377974,undefined,undefined,undefined,
1760364300000,10,8.70792751908,1.3207547169811322,undefined,undefined,undefined,
1760364305000,10,8.7069402318,1.6653713778172534,undefined,undefined,undefined,
1760364310000,10,8.7065405262,1.7387524451206258,undefined,undefined,undefined,
1760364315000,10,8.71850589084,1.2331625877442611,undefined,undefined,undefined,
1760364320000,10,8.717300759879999,1.2826385707741639,undefined,undefined,undefined,
1760364325000,10,8.716229532360002,1.7264141362851633,undefined,undefined,undefined,
1760364330000,10,8.715024401399997,1.6719118804091269,undefined,undefined,undefined,
1760364335000,10,8.71408707732,1.5509887553315238,undefined,undefined,undefined,
1760364340000,10,8.713149753240002,1.6782546152001918,undefined,undefined,undefined,
1760364345000,10,8.712078525719999,1.4937263493328024,undefined,undefined,undefined,
1760364350000,10,8.764106902899996,1.452081316553727,undefined,undefined,undefined,
1760364355000,10,8.76085367459999,1.4874628134296644,undefined,undefined,undefined,
1760364360000,10,8.756670952500004,1.4131778837661193,undefined,undefined,undefined,
1760364361035,,,,,,,moja-quoting-service-handler-b77758c9c-45d6m killed
1760364365000,10,8.753417724199997,1.523664412913056,undefined,undefined,undefined,
1760364370000,10,8.750629242799999,1.3045659809332666,undefined,undefined,undefined,
1760364375000,10,8.897759941020006,1.5094339622641513,undefined,undefined,undefined,
