Time,VUs   - sdkFxSendE2E 2025-10-13 17:02,Failures  - sdkFxSendE2E 2025-10-13 17:02,Latency(p99)  - sdkFxSendE2E 2025-10-13 17:02,Throughput - sdkFxSendE2E 2025-10-13 17:02,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_CONVERSION_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_PARTY_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760375700000,10,undefined,8.887621150469998,1.7359338302869396,undefined,undefined,undefined,undefined,undefined,
1760375705000,10,undefined,8.88679897176,1.2891798891225388,undefined,undefined,undefined,undefined,undefined,
1760375710000,10,undefined,8.886433558999999,1.4303003630762459,undefined,undefined,undefined,undefined,undefined,
1760375715000,10,undefined,8.886179435299999,1.475392559806091,undefined,undefined,undefined,undefined,undefined,
1760375720000,10,undefined,8.88595072397,1.7277439301627717,undefined,undefined,undefined,undefined,undefined,
1760375725000,10,undefined,8.885747425009999,1.6084776232377709,undefined,undefined,undefined,undefined,undefined,
1760375730000,10,undefined,8.885569538419999,1.4727540500736376,undefined,undefined,undefined,undefined,undefined,
1760375735000,10,undefined,8.88539165183,1.4240667276980976,undefined,undefined,undefined,undefined,undefined,
1760375740000,10,undefined,8.885162940499999,1.8291985823710988,undefined,undefined,undefined,undefined,undefined,
1760375745000,10,undefined,8.88493422917,1.8227848101265824,undefined,undefined,undefined,undefined,undefined,
1760375750000,10,undefined,8.88473093021,1.524390243902439,undefined,undefined,undefined,undefined,undefined,
1760375755000,10,undefined,8.88457845599,1.4958863126402395,undefined,undefined,undefined,undefined,undefined,
1760375760000,10,undefined,8.88434974466,1.5916808149405772,undefined,undefined,undefined,undefined,undefined,
1760375765000,10,undefined,8.8841464457,1.665360501567398,undefined,undefined,undefined,undefined,undefined,
1760375770000,10,undefined,8.883943146739998,1.5757337010045303,undefined,undefined,undefined,undefined,undefined,
1760375775000,10,undefined,8.880280288500003,1.4265335235378032,undefined,undefined,undefined,undefined,undefined,
1760375780000,10,undefined,8.875223441599992,1.4659685863874343,undefined,undefined,undefined,undefined,undefined,
1760375785000,10,undefined,8.868721781299998,1.5816528272044288,undefined,undefined,undefined,undefined,undefined,
1760375790000,10,undefined,8.862942527700003,1.6098484848484849,undefined,undefined,undefined,undefined,undefined,
1760375795000,10,undefined,8.856440867399991,1.759470089008487,undefined,undefined,undefined,undefined,undefined,
1760375795242,,,,,,,,,,mojaloop-kafka-mojaloop-kafka-nodepool-2 killed
1760375800000,10,undefined,8.852106427199997,1.653621430933745,undefined,undefined,undefined,undefined,undefined,
1760375805000,10,undefined,8.89772913806,1.4402304368698993,undefined,undefined,undefined,undefined,undefined,
1760375810000,10,undefined,8.89749932316,1.2339150361360833,undefined,undefined,undefined,undefined,undefined,
1760375815000,10,undefined,8.89713161932,1.2899384798571145,undefined,undefined,undefined,undefined,undefined,
1760375820000,10,undefined,8.89676391548,1.8221159321261813,undefined,undefined,undefined,undefined,undefined,
1760375825000,10,undefined,8.896350248660001,1.8230563002680968,undefined,undefined,undefined,undefined,undefined,
1760375830000,10,undefined,8.8960285078,1.436652599443297,undefined,undefined,undefined,undefined,undefined,
